ex_dividend_date,amount,currency,record_date,payment_date,declaration_date
2025-09-29,0.05,CAD,2025-09-29,2025-10-15,2025-09-11
2025-08-29,0.05,CAD,2025-08-29,2025-09-15,2025-08-13
2025-07-31,0.05,CAD,2025-07-31,2025-08-15,2025-07-17
2025-06-30,0.05,CAD,2025-06-30,2025-07-15,2025-06-19
2025-05-30,0.05,CAD,2025-05-30,2025-06-13,2025-05-15
2025-04-30,0.05,CAD,2025-04-30,2025-05-15,2025-04-16
2025-03-31,0.05,CAD,2025-03-31,2025-04-15,2025-03-17
2025-02-28,0.05,CAD,2025-02-28,2025-03-14,2025-02-14
2025-01-31,0.05,CAD,2025-01-31,2025-02-14,2025-01-17
2024-12-31,0.12,CAD,2024-12-31,2025-01-15,2024-12-19
2024-12-31,0.05,CAD,2024-12-31,2025-01-15,2024-12-19
2024-11-29,0.05,CAD,2024-11-29,2024-12-16,2024-11-13
2024-10-31,0.05,CAD,2024-10-31,2024-11-15,2024-10-16
2024-09-27,0.05,CAD,2024-09-27,2024-10-15,2024-08-14
2024-08-30,0.05,CAD,2024-08-30,2024-09-16,2024-08-14
2024-07-31,0.05,CAD,2024-07-31,2024-08-15,2024-07-17
2024-06-28,0.05,CAD,2024-06-28,2024-07-15,2024-05-14
2024-05-31,0.05,CAD,2024-05-31,2024-06-14,2024-05-14
2024-04-29,0.05,CAD,2024-04-30,2024-05-15,2024-04-12
2024-03-27,0.05,CAD,2024-03-28,2024-04-15,2024-02-13
2024-02-28,0.05,CAD,2024-02-29,2024-03-15,2024-02-13
2024-01-30,0.05,CAD,2024-01-31,2024-02-15,2024-01-17
2023-12-28,0.1,CAD,2023-12-29,2024-01-15,2023-12-13
2023-12-28,0.05,CAD,2023-12-29,2024-01-15,2023-12-13
2023-11-29,0.05,CAD,2023-11-30,2023-12-15,2023-11-14
2023-10-30,0.05,CAD,2023-10-31,2023-11-15,2023-10-18
2023-09-28,0.05,CAD,2023-09-29,2023-10-16,2023-08-10
2023-08-30,0.05,CAD,2023-08-31,2023-09-15,2023-08-10
2023-07-28,0.05,CAD,2023-07-31,2023-08-15,2023-07-20
